User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
293006629,01/01/2023 02:34,Spot,Initial Balance,ADA,4.41E-15,
293006629,01/01/2023 02:36,Spot,Initial Balance,BNB,0.00830594,
293006629,01/01/2023 02:37,Spot,Initial Balance,BTC,0.00000779,
293006629,01/01/2023 02:40,Spot,Initial Balance,LTC,0.0002205,
293006629,01/01/2023 02:42,Spot,Initial Balance,TRX,-0.00000003,
293006629,01/01/2023 02:43,Spot,Initial Balance,USDT,0.00000014,
293006629,01/01/2023 02:45,Spot,Initial Balance,HFT,0.04111636,
293006629,18/02/2023 03:05,Spot,Simple Earn Flexible Interest,BNB,0.00000022,Binance Earn
293006629,18/02/2023 03:15,Spot,Simple Earn Flexible Interest,MANA,0.00008238,Binance Earn
293006629,18/02/2023 03:39,Spot,Simple Earn Flexible Interest,BUSD,0.00016903,Binance Earn
293006629,18/02/2023 04:08,Spot,Simple Earn Flexible Interest,ETC,0.00003934,Binance Earn
293006629,18/02/2023 04:11,Spot,Simple Earn Flexible Interest,XMR,0.00000152,Binance Earn
293006629,18/02/2023 04:13,Spot,Simple Earn Flexible Interest,ADA,0.00035134,Binance Earn
293006629,18/02/2023 04:15,Spot,Simple Earn Flexible Interest,USDT,0.00116866,Binance Earn
293006629,18/02/2023 04:32,Spot,Simple Earn Flexible Interest,DOGE,0.00027892,Binance Earn
293006629,18/02/2023 16:46,Spot,Simple Earn Flexible Subscription,BNB,-0.00000022,Binance Earn
293006629,18/02/2023 17:02,Spot,Simple Earn Flexible Subscription,USDT,-0.00116866,Binance Earn
293006629,18/02/2023 17:09,Spot,Simple Earn Flexible Subscription,DOGE,-0.00027892,Binance Earn
293006629,18/02/2023 17:09,Spot,Simple Earn Flexible Subscription,ADA,-0.00035134,Binance Earn
293006629,18/02/2023 17:15,Spot,Simple Earn Flexible Subscription,BUSD,-0.00016903,Binance Earn
293006629,18/02/2023 17:16,Spot,Simple Earn Flexible Subscription,MANA,-0.00008238,Binance Earn
293006629,18/02/2023 17:18,Spot,Simple Earn Flexible Subscription,ETC,-0.00003934,Binance Earn
293006629,18/02/2023 17:24,Spot,Simple Earn Flexible Subscription,XMR,-0.00000152,Binance Earn
293006629,19/02/2023 02:07,Spot,Simple Earn Flexible Interest,ETC,0.00003934,Binance Earn
293006629,19/02/2023 02:09,Spot,Simple Earn Flexible Interest,BUSD,0.00016906,Binance Earn
293006629,19/02/2023 02:34,Spot,Simple Earn Flexible Interest,BNB,0.00000022,Binance Earn
293006629,19/02/2023 02:35,Spot,Simple Earn Flexible Interest,ADA,0.00035135,Binance Earn
